漢字,タイプ,読み方,,,,,,,,
米,音読,べい,米作,米価,米食,,,,,
米,音読,まい,精米,新米,白米,,,,,
米,訓読,こめ,米,米粒,,,,,,
眠,音読,みん,不眠,安眠,睡眠,,,,,
眠,訓読,ねむ,眠る,眠り,眠い,眠たい,眠気,,,
面,音読,めん,面会,方面,,,,,,
面,訓読,おも,面影,面長,,,,,,
面,訓読,おもて,面,細面,,,,,,
面,訓読,つら,面,面魂,,,,,,
民,音読,みん,民族,国民,,,,,,
民,訓読,たみ,民,,,,,,,
鳴,音読,めい,悲鳴,雷鳴,,,,,,
鳴,訓読,な,鳴く,鳴き声,鳴る,耳鳴り,鳴らす,,,
命,音読,めい,命令,運命,生命,,,,,
命,音読,みょう,寿命,,,,,,,
命,訓読,いのち,命,命拾い,,,,,,
末,音読,まつ,末代,本末,粉末,,,,,
末,訓読,すえ,末,末っ子,,,,,,
暮,音読,ぼ,歳暮,薄暮,,,,,,
暮,訓読,く,暮れる,暮れ,暮らす,暮らし,,,,
難,音読,なん,難易,困難,非難,,,,,
難,訓読,むずか,難しい,難しさ,,,,,,
内,音読,ない,内外,内容,家内,,,,,
内,音読,だい,内裏,参内,,,,,,
内,訓読,うち,内,内側,内気,,,,,
能,音読,のう,能力,芸能,効能,,,,,
念,音読,ねん,念願,信念,断念,,,,,
娘,訓読,むすめ,娘,娘心,小娘,,,,,
努,音読,ど,努力,,,,,,,
努,訓読,つと,努める,努めて,,,,,,
怒,音読,ど,怒号,怒気,激怒,,,,,
怒,訓読,いか,怒る,怒り,,,,,,
怒,訓読,おこ,怒る,,,,,,,
偶,音読,ぐう,偶然,偶数,配偶者,,,,,
判,訓読,はん,判定,判明,,,,,,
判,訓読,ばん,大判,,,,,,,
配,音読,はい,配分,交配,,,,,,
配,訓読,くば,配る,,,,,,,
疲,音読,ひ,疲労,疲弊,,,,,,
疲,訓読,つか,疲れる,疲れ,,,,,,
貧,音読,ひん,貧富,貧弱,清貧,,,,,
貧,音読,びん,貧乏,,,,,,,
貧,訓読,まず,貧しい,,,,,,,
平,音読,へい,平面,平和,公平,,,,,
平,音読,びょう,平等,,,,,,,
平,訓読,たい,平らげる,,,,,,,
平,訓読,ひら,平手,平謝り,平たい,,,,,
破,音読,は,破壊,破産,,,,,,
破,訓読,やぶ,破る,型破り,破れる,,,,,
妻,音読,さい,妻子,夫妻,良妻,,,,,
妻,訓読,つま,妻,,,,,,,
期,音読,き,期間,期待,予期,,,,,
期,音読,ご,最期,,,,,,,
欠,音読,けつ,欠乏,補欠,,,,,,
欠,訓読,か,欠ける,欠く,,,,,,
勤,音読,きん,勤務,勤勉,出勤,,,,,
勤,音読,ごん,勤行,,,,,,,
勤,訓読,つと,勤める,勤め,勤まる,,,,,
寝,音読,しん,寝室,寝具,就寝,,,,,
寝,訓読,ね,寝る,寝入る,昼寝,寝かす,,,,
情,音読,じょう,情報,情熱,人情,,,,,
情,訓読,なさ,情け,,,,,,,
晴,音読,せい,晴天,晴雨,快晴,,,,,
晴,訓読,は,晴れる,晴れ,晴らす,,,,,
求,音読,きゅう,求職,要求,追求,,,,,
求,訓読,もと,求める,求め,,,,,,
球,音読,きゅう,球形,球技,地球,,,,,
球,訓読,たま,球,,,,,,,
曲,音読,きょく,曲線,曲面,名曲,,,,,
曲,訓読,ま,曲がる,曲げる,,,,,,
取,音読,しゅ,取捨,取材,,,,,,
取,訓読,と,取る,,,,,,,
全,音読,ぜん,全部,全国,完全,,,,,
全,訓読,まった,全く,,,,,,,
全,訓読,すべ,全て,,,,,,,
権,音読,けん,権利,権威,人権,,,,,
権,音読,ごん,権化,権現,,,,,,
確,音読,かく,確定,確認,正確,,,,,
然,音読,ぜん,当然,自然,必然,,,,,
然,音読,ねん,天然,,,,,,,
熱,音読,ねつ,熱病,情熱,,,,,,
熱,訓読,あつ,熱い,,,,,,,
任,音読,にん,任意,任務,責任,,,,,
任,訓読,まか,任せる,人任せ,任す,,,,,
認,音読,にん,認識,承認,否認,,,,,
認,訓読,みと,認める,,,,,,,
容,音読,よう,容易,容器,形容,,,,,
若,音読,じゃく,若年,自若,,,,,,
若,音読,にゃく,老若,,,,,,,
若,訓読,わか,若い,若者,,,,,,
若,訓読,も,若しくは,,,,,,,
散,音読,さん,散歩,散文,解散,,,,,
散,訓読,ち,散る,散らす,散らかす,散らかる,,,,
殺,音読,さつ,殺人,黙殺,,,,,,
殺,音読,さい,相殺,,,,,,,
殺,訓読,ころ,殺す,,,,,,,
商,音読,しょう,商売,商業,貿易商,,,,,
商,訓読,あきな,商う,商い,,,,,,
申,音読,しん,申告,申請,内申書,,,,,
申,訓読,もう,申す,申し上げる,,,,,,
深,音読,しん,深山,深夜,水深,,,,,
深,訓読,ふか,深い,深入り,深み,深まる,深める,,,
神,音読,しん,神聖,神経,精神,,,,,
神,音読,じん,神社,神宮,神通力,,,,,
神,訓読,かみ,神,神様,,,,,,
神,訓読,かん,神主,,,,,,,
神,訓読,こう,神々しい,,,,,,,
声,音読,せい,声楽,声援,名声,,,,,
声,訓読,こう,声,,,,,,,
声,訓読,こわ,声色,,,,,,,
勝,音読,しょう,勝敗,優勝,名勝,,,,,
勝,訓読,か,勝つ,勝ち,勝手,,,,,
勝,訓読,まさ,勝る,男勝り,,,,,,
失,音読,しつ,失望,消失,,,,,,
失,訓読,うしな,失う,,,,,,,
師,音読,し,師匠,教師,医師,,,,,
石,音読,せき,石材,岩石,宝石,,,,,
石,訓読,しゃく,磁石,,,,,,,
石,訓読,こく,石高,,,,,,,
石,訓読,いし,石,小石,,,,,,
実,音読,じつ,実力,充実,実に,,,,,
実,訓読,み,実,実入り,,,,,,
実,訓読,みの,実る,実り,,,,,,
識,音読,しき,識別,意識,知識,,,,,
示,音読,じ,示威,示談,指示,,,,,
示,音読,し,示唆,,,,,,,
示,訓読,しめ,示す,示し,,,,,,
市,音読,し,市民,市況,都市,,,,,
市,訓読,いち,市,,,,,,,
式,音読,しき,式典,形式,数式,,,,,
似,音読,じ,類似,酷似,疑似,,,,,
似,訓読,に,似る,,,,,,,
適,音読,てき,適切,適度,快適,,,,,
収,音読,しゅう,収穫,収入,回収,,,,,
収,訓読,おさ,収める,収まる,,,,,,
守,音読,しゅ,守備,保守,攻守,,,,,
守,音読,す,留守,,,,,,,
守,訓読,まも,守る,守り,,,,,,
守,訓読,もり,子守,,,,,,,
守,訓読,も,お守り,,,,,,,
首,音読,しゅ,首尾,首席,自首,,,,,
首,訓読,くび,首,首飾り,,,,,,
受,音読,じゅ,受諾,受験,甘受,,,,,
受,訓読,う,受ける,受付,受かる,,,,,
束,音読,そく,束縛,結束,約束,,,,,
束,訓読,たば,束縛,花束,束ねる,,,,,
術,音読,じゅつ,技術,芸術,,,,,,
数,音読,すう,数字,数量,年数,,,,,
数,訓読,かず,数,,,,,,,
数,訓読,かぞ,数える,数え年,,,,,,
説,音読,せつ,説明,小説,,,,,,
説,音読,ぜい,遊説,,,,,,,
説,訓読,とく,説く,,,,,,,
速,音読,そく,速度,敏速,時速,,,,,
速,訓読,はや,速い,速さ,速める,,,,,
速,訓読,すみ,速やか,,,,,,,
歳,音読,さい,歳末,歳月,,,,,,
歳,音読,せい,歳暮,,,,,,,
所,音読,しょ,所得,住所,,,,,,
所,訓読,ところ,所,,,,,,,
他,音読,た,他国,自他,排他的,,,,,
他,訓読,ほか,他,,,,,,,
太,音読,たい,太陽,太鼓,皇太子,,,,,
太,音読,た,丸太,,,,,,,
太,訓読,ふと,太い,太る,,,,,,
談,音読,だん,談話,談判,相談,,,,,
探,音読,たん,探求,探訪,探知,,,,,
探,訓読,さぐ,探る,探り,,,,,,
探,訓読,さが,探す,,,,,,,
逃,音読,とう,逃走,逃亡,逃避,,,,,
逃,訓読,に,逃げる,夜逃げ,逃がす,,,,,
逃,訓読,のが,逃す,見逃す,逃れる,一時逃れ,,,,
戻,音読,れい,戻入,,,,,,,
戻,訓読,もど,戻る,戻す,後戻り,,,,,
庭,音読,てい,庭園,校庭,家庭,,,,,
庭,訓読,にわ,庭園,庭先,,,,,,
痛,音読,つう,痛快,苦痛,心痛,,,,,
痛,訓読,いた,痛い,痛む,痛み,痛ましい,痛める,,,
投,音読,とう,投資,投下,暴投,,,,,
投,訓読,な,投げる,,,,,,,
頭,音読,とう,頭部,年頭,,,,,,
頭,音読,ず,頭脳,頭上,頭痛,,,,,
頭,訓読,あたま,頭,頭金,頭打ち,,,,,
頭,訓読,かしら,頭,頭文字,,,,,,
突,音読,とつ,突然,衝突,,,,,,
突,訓読,つ,突く,,,,,,,
徒,音読,と,徒歩,徒労,信徒,,,,,
途,音読,と,途上,帰途,前途,,,,,
退,音読,たい,退却,退屈,進退,,,,,
退,訓読,しりぞ,退く,退ける,,,,,,
完,音読,かん,完全,完成,未完,,,,,
晩,音読,ばん,今晩,早晩,,,,,,
亡,音読,ぼう,亡父,亡命,存亡,,,,,
亡,音読,もう,亡者,,,,,,,
亡,訓読,な,亡い,亡き人,亡くす,,,,,
王,音読,おう,王子,帝王,,,,,,
忘,音読,ぼう,忘却,忘年会,備忘,,,,,
忘,訓読,わす,忘れる,物忘れ,,,,,,
望,音読,ぼう,望郷,希望,人望,,,,,
望,音読,もう,所望,大望,本望,,,,,
望,訓読,のぞ,望む,望み,望ましい,,,,,
危,音読,き,危険,危害,安危,,,,,
危,訓読,あぶ,危ない,,,,,,,
